"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 28, 2016","44,230","43,683","44,409","43,683","25.40K","1.78%"
"Dec 23, 2016","43,456","43,747","43,747","43,318","10.28K","-0.85%"
"Dec 22, 2016","43,827","44,089","44,089","43,688","19.44K","-0.80%"
"Dec 21, 2016","44,182","44,461","44,461","44,111","17.87K","-0.46%"
"Dec 20, 2016","44,384","44,049","44,508","43,884","21.77K","0.94%"
"Dec 19, 2016","43,972","43,940","44,345","43,896","25.30K","0.52%"
"Dec 15, 2016","43,744","43,920","43,971","43,600","21.80K","-0.71%"
"Dec 14, 2016","44,056","44,369","44,444","43,924","100.86K","-0.34%"
"Dec 13, 2016","44,207","43,900","44,275","43,828","167.78K","0.54%"
"Dec 12, 2016","43,970","44,300","44,636","43,740","194.99K","-0.69%"
"Dec 09, 2016","44,277","43,680","44,368","43,630","71.31K","0.80%"
"Dec 08, 2016","43,925","43,450","43,950","43,261","48.03K","2.15%"
"Dec 07, 2016","43,000","42,735","43,113","42,659","31.00K","1.10%"
"Dec 06, 2016","42,532","43,405","43,405","42,416","35.92K","-1.65%"
"Dec 05, 2016","43,246","42,771","43,470","42,585","27.36K","0.75%"
"Dec 02, 2016","42,924","43,158","43,235","42,674","33.28K","-1.34%"
"Dec 01, 2016","43,506","43,922","44,028","43,235","44.42K","-0.74%"
"Nov 30, 2016","43,829","43,810","44,140","43,649","25.59K","0.08%"
"Nov 29, 2016","43,795","43,700","44,171","43,632","28.72K","0.16%"
"Nov 28, 2016","43,723","44,350","44,605","43,690","24.90K","-1.34%"
"Nov 25, 2016","44,318","44,203","44,350","43,910","19.38K","0.35%"
"Nov 24, 2016","44,165","44,200","44,423","44,010","18.98K","-0.00%"
"Nov 23, 2016","44,167","44,789","44,980","44,013","32.84K","-1.18%"
"Nov 22, 2016","44,693","44,649","44,990","44,649","33.02K","0.82%"
"Nov 21, 2016","44,329","44,423","44,620","44,113","21.93K","-0.14%"
"Nov 18, 2016","44,391","44,470","44,664","44,310","29.28K","0.09%"
"Nov 17, 2016","44,351","43,625","44,443","43,604","26.47K","1.50%"
"Nov 16, 2016","43,694","43,599","44,030","43,550","32.26K","0.94%"
"Nov 15, 2016","43,286","43,850","43,850","43,230","34.86K","-0.88%"
"Nov 14, 2016","43,670","44,194","44,749","43,628","38.53K","-1.19%"
"Nov 11, 2016","44,194","44,900","44,900","43,985","49.38K","-2.31%"
"Nov 10, 2016","45,238","45,149","45,562","44,710","42.13K","1.19%"
"Nov 09, 2016","44,708","43,357","44,767","43,200","45.07K","0.63%"
"Nov 08, 2016","44,426","44,222","44,688","44,155","30.81K","0.70%"
"Nov 07, 2016","44,118","43,800","44,151","43,680","38.56K","1.58%"
"Nov 04, 2016","43,432","43,698","43,723","43,317","34.69K","-1.21%"
"Nov 03, 2016","43,965","44,007","44,032","43,692","27.85K","-0.29%"
"Nov 02, 2016","44,093","44,340","44,340","43,905","32.02K","-1.43%"
"Nov 01, 2016","44,734","44,456","44,794","44,433","25.36K","1.00%"
"Oct 31, 2016","44,292","44,641","44,676","44,260","31.15K","-0.78%"
"Oct 28, 2016","44,640","44,805","44,865","44,391","37.34K","-0.57%"
"Oct 27, 2016","44,898","45,293","45,293","44,829","27.17K","-1.01%"
"Oct 26, 2016","45,358","45,346","45,454","45,004","21.08K","-0.29%"
"Oct 25, 2016","45,491","45,620","45,759","45,355","22.99K","-0.01%"
"Oct 24, 2016","45,496","45,521","45,895","45,438","24.92K","0.17%"
"Oct 21, 2016","45,419","45,265","45,695","45,260","25.42K","0.34%"
"Oct 20, 2016","45,265","45,499","45,560","45,150","18.53K","-0.23%"
